id,treated,nucleus,cytoplasm,wall
1,0,4.66,96.36,9.82
2,0,0.43,89.74,35.16
3,0,2.58,29.76,3.33
4,0,0.56,66.66,21.06
5,0,4.99,93.80,8.26
6,0,1.33,10.58,12.38
7,0,0.32,89.48,20.44
8,0,3.26,45.82,48.23
9,0,4.53,10.03,31.72
10,0,4.08,36.03,38.74
11,0,0.31,38.83,36.28
12,0,2.07,78.39,44.03
13,0,0.31,55.36,42.88
14,0,4.09,54.18,37.89
15,0,1.04,86.92,3.10
16,0,4.60,61.13,15.56
17,0,0.39,7.80,28.59
18,0,2.57,47.15,1.43
19,0,2.67,20.32,33.97
20,0,0.93,21.30,26.89
21,0,4.21,79.33,40.53
22,0,1.19,43.57,29.38
23,0,2.87,9.45,34.93
24,0,2.20,41.82,9.58
25,0,0.97,35.12,16.04
26,0,0.50,0.20,20.22
27,0,4.20,9.60,17.95
28,0,4.59,34.30,9.84
29,0,0.35,11.53,24.38
30,0,2.19,61.59,2.64
31,0,0.58,33.21,35.55
32,0,2.28,90.89,46.50
33,0,4.93,33.64,5.44
34,0,0.99,60.39,48.55
35,0,0.71,73.98,42.40
36,0,4.52,20.91,0.61
37,0,0.91,10.28,38.29
38,0,1.30,81.50,16.30
39,0,1.82,38.62,27.68
40,0,0.12,49.47,40.84
41,0,3.16,83.46,45.25
42,0,1.30,20.89,42.41
43,0,2.01,89.55,23.25
44,0,1.47,24.27,7.74
45,0,2.80,29.76,4.54
46,0,3.90,24.33,30.99
47,0,4.59,21.03,27.95
48,0,0.45,41.50,34.82
49,0,4.69,54.16,9.67
50,0,3.87,92.31,31.75
51,1,5.56,164.77,18.62
52,1,0.67,183.50,12.86
53,1,3.19,101.34,14.85
54,1,0.85,161.92,11.22
55,1,8.39,161.50,17.19
56,1,3.75,199.66,9.35
57,1,8.68,49.76,9.58
58,1,7.81,177.39,13.30
59,1,9.90,122.18,11.82
60,1,6.42,66.69,9.35
61,1,3.12,29.01,12.68
62,1,4.13,180.23,19.43
63,1,9.23,167.46,4.22
64,1,1.12,47.73,17.93
65,1,6.51,150.75,11.98
66,1,5.70,2.03,6.82
67,1,3.69,175.52,3.62
68,1,9.26,0.52,12.94
69,1,8.05,27.03,9.27
70,1,2.90,130.59,11.05
71,1,5.22,99.77,1.01
72,1,1.56,51.51,9.51
73,1,4.93,31.26,15.91
74,1,2.89,110.58,1.57
75,1,5.92,147.38,7.46
76,1,5.75,38.10,4.47
77,1,5.62,100.02,13.35
78,1,4.10,173.52,1.16
79,1,4.53,41.32,14.42
80,1,6.78,104.00,4.92
81,1,3.29,23.38,8.88
82,1,2.78,7.39,5.81
83,1,9.22,38.40,18.83
84,1,5.25,82.91,9.90
85,1,0.88,21.42,2.08
86,1,0.59,25.74,6.81
87,1,7.12,26.19,0.96
88,1,9.46,155.83,19.57
89,1,6.62,54.65,2.32
90,1,4.95,146.79,1.68
91,1,3.03,71.30,7.89
92,1,5.47,116.85,10.75
93,1,7.41,165.90,2.66
94,1,1.10,142.39,5.47
95,1,8.13,41.80,0.49
96,1,7.10,32.88,3.19
97,1,8.52,1.33,0.62
98,1,6.07,67.21,19.22
99,1,4.38,176.32,6.78
100,1,5.20,132.29,5.58
